id,username,tweet
1433881,Zach Petersen,"b""Upgraded to Windows 11 yesterday. First time I've been completely meh about a Windows upgrade. Looking fwd to learning it's tricks."""
1142416848044068866,"Katie, In Search of the Way","b'Has anyone updated to windows 11? How are  you finding it, if so?'"
2858012136,Latest Phones & Gadgets,b'Google Play Store games coming to Windows 10 and 11 next\xc2\xa0year https://t.co/odW98B0v09'
314653455,xbit ops,b'RT @benjedwards: I\xe2\x80\x99d love to see a Windows 3.11 PC Mini\xe2\x80\x94a micro game console (think NES mini) shaped like a 386 PC tower full of nothing bu\xe2\x80\xa6'
1114995429958144000,schwa 🦎👒,"b'can anyone help me figure out why my laptop is slow and how to fix it? ive upgraded to windows 11, tried using diff\xe2\x80\xa6 https://t.co/iqeyUqVBXT'"
19720653,Tech Advisor,b'Android games will arrive on Windows 11 next year https://t.co/fafjFyKWpp via @anyroncopeman'
1312893851191959552,euge del carril,b'RT @annh_campos: @svetlana_denver @barbara_dear @Wanda2137 @Magda31076764 @Gaby_FMP @IanevaZoia @tauchtine @fanclub_dimash @BiassiniAna @Di\xe2\x80\xa6'
760678325685784577,Aaron Brighton,"b'@Model3Owners Yah \xf0\x9f\x98\xa2, there used to be one that every night at 11:30 PM on the dot would come roaring down the stree\xe2\x80\xa6 https://t.co/hDoWgKB5Ry'"
5889072,Wccftech,b'Don\xe2\x80\x99t Miss the Double Sale at Keysfan \xe2\x80\x93 Buy Office and get Windows 10/11 for Free! https://t.co/GrHI74PVHb https://t.co/Di4Kz5qJn7'
1166012424215883776,Kruti,"b'RT @backlon: Google is bringing Google Play Games to Windows. Not via the new Android in Windows 11 thinger, but in its own \xe2\x80\xa6app? system? T\xe2\x80\xa6'"
3064146644,SATYAJIT GHOSH ,b'RT @benjedwards: I\xe2\x80\x99d love to see a Windows 3.11 PC Mini\xe2\x80\x94a micro game console (think NES mini) shaped like a 386 PC tower full of nothing bu\xe2\x80\xa6'
19948217,Benj Edwards,b'RT @benjedwards: I\xe2\x80\x99d love to see a Windows 3.11 PC Mini\xe2\x80\x94a micro game console (think NES mini) shaped like a 386 PC tower full of nothing bu\xe2\x80\xa6'
595292451,Tero Alhonen,b'Keyboard shortcuts in Windows 11 https://t.co/afd8noVkWE'
3041049114,Peter Kenneally,b'How to Make Your Chrome Browser Look Like Windows 11 https://t.co/hbDlhaTcqj https://t.co/gp5GSlSxZU'
721544046653493249,RICK RIOS DOMÍNGUEZ,"b'@ocshoobie @Yeetbotman some people have reported that doesn\xe2\x80\x99t work for them but that\xe2\x80\x99s nice i guess, i know they\xe2\x80\x99ve\xe2\x80\xa6 https://t.co/Pf6UH0QPTi'"
1304550008,Tetsuo,b'RT @gsmarena_com: Google Play Store games coming to Windows 10 and 11 next year https://t.co/DdXfOPK7Wo https://t.co/y0z497XVQS'
1136014784569257987,🌴 ʙᴀʀʙᴀᴅᴏꜱ ꜱʟɪᴍ 🌴,b'just got Windows 11. A little weird but I kinda dig it. Wish version of Mac OS lol'
339762824,Ed Tittel,b'Latest #Windows11 Dev Channel Build 22518 can use MS Spotlight for desktop backgrounds. Cool! #WIMVP\xe2\x80\xa6 https://t.co/Vao9WIp8ao'
2798993669,BlackHand,b'RT @gsmarena_com: Google Play Store games coming to Windows 10 and 11 next year https://t.co/DdXfOPK7Wo https://t.co/y0z497XVQS'
1435069887366455303,Owen Fitzgerald,"b""@IrishLitTimes Hopefully it's not run on Windows 11."""
1190819764127567872,"Lauren ""Vote blue to keep out you know who"" McCoy",b'@WindowsLatest But as I said before this came out... Windows 11 = Vista pre-SP1.  Same damn thing there too except\xe2\x80\xa6 https://t.co/X45ck7JDOc'
209038505,USMAN YUSUF™,b'Google will bring Android games to Windows 10 and 11 next year https://t.co/sCQGh6xzUN via @gizmochina'
1190819764127567872,"Lauren ""Vote blue to keep out you know who"" McCoy","b'@WindowsLatest Good.  Keep the improvements coming.  When I first installed Windows 11 ARM on my Mac M1, it was ver\xe2\x80\xa6 https://t.co/jZrSESh469'"
899710030710284288,yo🎄 #advyout,b'@zSkipper11 no te instales windows 11'
1080116711683178496,ǝWɹǝๅɐǝꓤǝɥꓕ 🍥,"b'RT @mspoweruser: Microsoft acknowledges slow Windows 11 NVMe SSD write speeds issue, is working on a fix - https://t.co/jHjtZowrEH https://\xe2\x80\xa6'"
1251067832667828225,bunga tidur jual iPhone cek pinned,"b'Lepi minta update windows 11 teroos, tp takoot failed ueueue'"
819821216764727296,Iryna.Fesenko,"b'New #Windows11 build tests Voice Access, Spotlight backgrounds\nby @markhachman\nhttps://t.co/BRT5nmbT0S'"
1013927542972211201,Mom Giggles,b'RT @LevantiniV_PhD: We explored for the first time whether parenting moderated the association between attention to the eyes and callous-un\xe2\x80\xa6'
932373490849628160,amy iverson,"b'@keedohh I came home late like 11, didn\xe2\x80\x99t sleep til midnight so I bet she did come home drunk and wanted a snack an\xe2\x80\xa6 https://t.co/uF8H8cMjOj'"
1394657618145136643,O. Lakshmi Tanmay Teja,b'RT @gsmarena_com: Google Play Store games coming to Windows 10 and 11 next year https://t.co/DdXfOPK7Wo https://t.co/y0z497XVQS'
30092983,"Zach Bigalke, ABD","b'@tkinias ... and then wondering why my computer is slow, even though I have 11 different windows minimized that eac\xe2\x80\xa6 https://t.co/A5PZ1fsqok'"
56784509,Mark Stockman,"b'Oof, Windows 11 BSOD https://t.co/HoofTLT9H9'"
1468984082734452737,Crispy,"b""RT @velo_tw: 150 rts and I'll make the first Windows 11 iso \xf0\x9f\xa4\x9d"""
913207395500810240,a1dnoah-b1ue,"b""RT @lockheimer: We're bringing Play Games to Windows 10 and 11! Pretty excited to partner with so many game developers so that you can seam\xe2\x80\xa6"""
1893719730,todayheadline,b'The Best Productivity Features You Should Use in Windows\xc2\xa011 https://t.co/Cl2jZuCYO1'
3422367497,Artificial Geek,"b'Windows 11 is apparently impacting the speed of storage drives (NVMs, SSDs, hard drive) and Microsoft has finally a\xe2\x80\xa6 https://t.co/Pe7XrxCZOI'"
2930156653,Kim Muro,b'RT @hudson_chatbots: Microsoft is making Windows 11 less annoying: #DeepLearning #IoT #BigData cc: @mikequindazzi https://t.co/2f4cmTghhJ h\xe2\x80\xa6'
1227376754450477056,Gideon Steward,b'RT @NeowinFeed: Google Play is coming to Windows 10 and 11 next year as hell freezes over #GooglePlay #Windows11 #Windows10 https://t.co/Si\xe2\x80\xa6'
1251493696740229122,TecniAsistencia.es,"b""Notebook HP Revolve 810 G3, 11'', Touch Intel Core i7-5600U, 2,60 GHz, 8 GB de RAM, SSD de 240 GB, Windows 10 Pro,\xe2\x80\xa6 https://t.co/aNXvGvxfT1"""
178250791,Steven D,"b'RT @WindowsLatest: Microsoft admits another Windows 11 bug is slowing down PCs, but a fix is coming https://t.co/LjM4o0hwa2 #Windows11 http\xe2\x80\xa6'"
1007329123264389120,Generation IX Technologies,b'Windows 11 Support In Los Angeles https://t.co/hzuuJv01EZ https://t.co/bZujoirUoO'
2281129274,Mehmet,b'Windows 11 Features #1 Color Filters\n#Windows11 #ColorFilters #Windows11Features https://t.co/NP2tGid1jt'
2571317438,鳥麦康人(とりむぎやすと),"b""RT @lockheimer: We're bringing Play Games to Windows 10 and 11! Pretty excited to partner with so many game developers so that you can seam\xe2\x80\xa6"""
1274775491006922752,Ash Collins 🏴󠁧󠁢󠁷󠁬󠁳󠁿,b'So I had a look at windows 11 the other day and uh... Why is Microsoft trying to hard to make it look like macOS'
3064146644,SATYAJIT GHOSH ,b'RT @androidcodex: So I had a look at windows 11 the other day and uh... Why is Microsoft trying to hard to make it look like macOS'
1469317591445524490,Soumyashree Biswal,"b""When you don't wanna risk downloading windows 11 prematurely so you tinker with your windows 10 o.s. interface- https://t.co/wBspqiR53M"""
